PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
9000,43,Male,Other,Strategy,16.27111876,0,Medium,6,108,79,25,Medium
9001,29,Female,USA,Strategy,5.525961381,0,Medium,5,144,11,10,Medium
9002,22,Female,USA,Sports,8.223755243,0,Easy,16,142,35,41,High
9003,35,Male,USA,Action,5.265351277,1,Easy,9,85,57,47,Medium
9004,33,Male,Europe,Action,15.53194452,0,Medium,2,131,95,37,Medium
9005,37,Male,Europe,RPG,20.56185541,0,Easy,2,81,74,22,Low
9006,25,Male,USA,Action,9.752716366,0,Hard,1,50,13,2,Low
9007,25,Female,Asia,RPG,4.401729345,0,Medium,10,48,27,23,Medium
9008,38,Female,Europe,Simulation,18.1527326,0,Easy,5,101,23,41,Medium
9009,38,Female,Other,Sports,23.94277173,0,Easy,13,95,99,36,High
9010,17,Male,USA,Strategy,4.829915834,0,Hard,8,95,14,12,High
9011,36,Female,Asia,Simulation,5.535980925,1,Easy,16,124,62,31,High
9012,16,Male,USA,Sports,18.77623381,1,Easy,9,18,52,32,High
9013,38,Female,USA,Strategy,8.701959181,0,Easy,0,156,33,47,Low
9014,44,Male,USA,Simulation,17.97520048,0,Easy,8,41,98,1,Low
9015,16,Male,Europe,RPG,7.951511339,0,Medium,10,156,58,24,High
9016,35,Male,Asia,Strategy,17.88789846,0,Easy,16,154,62,4,High
9017,47,Male,USA,RPG,17.2721129,0,Medium,2,131,13,9,Low
9018,26,Female,Asia,Action,19.41607874,0,Easy,3,135,77,25,Medium
9019,36,Female,Asia,RPG,19.33882552,0,Easy,4,56,21,30,Low
9020,39,Female,USA,Sports,1.722580982,0,Easy,2,177,34,37,Medium
9021,41,Female,USA,Sports,16.16768979,0,Easy,18,159,36,33,High
9022,42,Male,USA,Sports,10.44812619,0,Medium,2,120,81,5,Low
9023,30,Male,Europe,Strategy,17.95983486,0,Easy,14,117,40,19,High
9024,29,Male,Europe,Sports,22.5647231,0,Medium,12,161,1,22,High
9025,17,Female,USA,Sports,10.31145992,0,Hard,4,82,1,7,Medium
9026,21,Male,USA,Strategy,4.898342486,0,Medium,12,118,71,26,High
9027,35,Male,USA,Sports,14.59442464,0,Easy,18,177,59,18,High
9028,23,Male,Europe,Simulation,3.218365078,0,Easy,14,57,2,1,Medium
9029,32,Female,USA,Sports,4.128575768,0,Easy,1,155,85,37,Low
9030,18,Female,Asia,Simulation,22.85867254,0,Easy,3,67,35,2,Low
9031,39,Male,USA,Sports,3.374945772,1,Easy,5,70,50,11,Medium
9032,28,Female,Europe,Action,14.52763877,0,Hard,0,127,48,48,Low
9033,23,Male,USA,Simulation,18.96432413,0,Hard,19,48,62,42,Medium
9034,40,Male,USA,Strategy,11.7289647,0,Hard,0,120,24,18,Low
9035,16,Female,USA,RPG,17.4912581,0,Medium,18,166,24,17,High
9036,34,Male,Europe,Action,13.77645119,0,Hard,19,28,79,41,Medium
9037,42,Male,USA,Strategy,23.95834938,0,Medium,17,61,26,26,Medium
9038,21,Female,Europe,Action,1.90800715,0,Medium,11,112,14,0,Medium
9039,22,Female,Europe,Sports,5.560105968,0,Hard,3,116,52,44,Medium
9040,49,Female,Europe,Strategy,13.71408701,1,Medium,15,43,93,29,Medium
9041,28,Male,Other,RPG,12.2839258,0,Medium,4,151,76,35,Medium
9042,31,Male,USA,Action,2.244646563,0,Medium,15,68,88,39,Medium
9043,18,Male,Other,RPG,13.15380958,0,Medium,12,115,98,7,Medium
9044,16,Female,Europe,Action,2.619633553,0,Easy,14,149,10,34,High
9045,20,Male,Asia,RPG,16.58532905,0,Medium,19,65,34,46,Medium
9046,18,Male,USA,RPG,15.65317441,0,Easy,17,176,45,43,High
9047,43,Male,USA,Strategy,1.59597872,0,Medium,3,31,73,49,Low
9048,32,Female,USA,Sports,11.19805668,0,Easy,19,77,51,38,High
9049,40,Male,Europe,Sports,17.06770114,0,Hard,8,94,31,13,Medium
9050,48,Male,Other,RPG,19.21649489,0,Hard,3,146,22,32,Medium
9051,24,Male,USA,Sports,0.8741881074,0,Medium,8,45,19,21,High
9052,28,Male,Europe,Simulation,11.21671386,0,Easy,8,134,64,25,Medium
9053,45,Male,Europe,Simulation,23.70289732,1,Easy,1,50,95,26,Low
9054,29,Male,Europe,RPG,9.210122598,1,Easy,15,171,6,16,High
